股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
300258,精锻科技,,-12.68%,,-92.69%,,37.65%,23.69%,0.67%,,一季报
300259,新天科技,,25.97%,,-28.58%,,16.77%,43.78%,10.89%,,一季报
300264,佳创视讯,,-67.24%,,-304.98%,,96.53%,31.47%,-21.67%,,一季报
300263,隆华科技,,29.74%,,43.36%,,40.94%,18.45%,7.90%,,一季报
300269,联建光电,,-32.96%,,-285.40%,,86.72%,24.46%,-24.39%,,一季报
300270,中威电子,,32.70%,,114.68%,,29.95%,39.97%,9.00%,,一季报
300271,华宇软件,,-29.09%,,-23.87%,,20.64%,36.76%,-36.83%,,一季报
300274,阳光电源,,-18.26%,,-40.12%,,57.51%,33.26%,14.43%,,一季报
300277,汽轮科技,,18.19%,,105.50%,,42.94%,26.29%,10.32%,,一季报
300276,三丰智能,,-24.37%,,-311.78%,,61.19%,11.45%,-5.13%,,一季报
300279,和晶科技,,-14.93%,,-73.19%,,41.62%,14.78%,2.61%,,一季报
300288,朗玛信息,,-10.21%,,-164.15%,,17.04%,15.91%,-10.60%,,一季报
300302,同有科技,,156.12%,,431.25%,,40.95%,48.02%,71.63%,,一季报
300303,聚飞光电,,-4.44%,,-27.68%,,38.57%,20.66%,6.56%,,一季报
300304,云意电气,,-6.64%,,-27.67%,,24.37%,32.47%,16.56%,,一季报
300306,远方信息,,-9.42%,,-8.37%,,5.08%,69.85%,14.63%,,一季报
300315,掌趣科技,,14.07%,,94.15%,,7.35%,77.14%,29.26%,,一季报
300323,华灿光电,,109.74%,,151.90%,,53.16%,11.27%,2.28%,,一季报
300319,麦捷科技,,10.71%,,-24.38%,,32.16%,15.40%,5.51%,,一季报
300324,旋极信息,,-44.48%,,48.47%,,49.67%,23.10%,-14.25%,,一季报
300327,中颖电子,,2.42%,,31.66%,,15.23%,31.73%,4.27%,,一季报
300328,宜安科技,,9.29%,,-214.34%,,62.52%,9.59%,-7.57%,,一季报
300333,兆日科技,,-6.21%,,-262.55%,,2.39%,51.76%,-4.85%,,一季报
300334,津膜科技,,81.24%,,30.75%,,45.91%,24.82%,2.56%,,一季报
300339,润和软件,,10.21%,,147.62%,,37.97%,22.47%,7.91%,,一季报
300346,南大光电,,5.45%,,29.97%,,33.87%,41.86%,22.97%,,一季报
300349,金卡智能,,-13.23%,,-32.00%,,39.31%,35.60%,4.88%,,一季报
300348,长亮科技,,16.19%,,-1383.00%,,27.19%,26.29%,-11.11%,,一季报
300353,东土科技,,-28.34%,,20.69%,,46.95%,40.58%,-40.98%,,一季报
300358,楚天科技,,2.40%,,892.43%,,56.98%,37.55%,5.79%,,一季报
300360,炬华科技,,-31.59%,,-45.51%,,15.81%,40.97%,32.26%,,一季报
300365,恒华科技,,-63.55%,,-424.20%,,18.67%,20.75%,-14.94%,,一季报
300369,绿盟科技,,0.25%,,3.62%,,43.63%,44.60%,-26.98%,,一季报
300370,安控科技,,10.56%,,-1.96%,,60.15%,21.89%,-57.09%,,一季报
300373,扬杰科技,,34.87%,,41.01%,,39.43%,36.81%,17.81%,,一季报
300387,富邦科技,,11.80%,,15.03%,,27.20%,26.59%,8.16%,,一季报
300380,安硕信息,,12.41%,,442.37%,,57.87%,32.32%,4.18%,,一季报
300394,天孚通信,,40.82%,,45.79%,,14.25%,56.60%,37.01%,,一季报
300409,道氏技术,,27.11%,,146.18%,,39.88%,23.41%,5.38%,,一季报
300399,天利科技,,9.62%,,-84.34%,,31.86%,9.24%,1.22%,,一季报
300410,正业科技,,37.85%,,34.63%,,82.80%,25.36%,5.77%,,一季报
