股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
002444,巨星科技,0.61,14.2,346.56,1.87,-0.66,30.21,,0
002442,龙星科技,3.51,100.11,26.15,1.43,1.33,5.32,,0
002446,盛路通信,1.81,159.97,71.89,3.18,1.8,8.48,,0
002449,国星光电,1.88,-47.68,41.19,1.1,0.45,6.66,,0
002453,华软科技,1.38,-15.34,29.45,5.25,0.44,4.58,,0
002459,晶澳科技,2.39,-4.92,230.48,1.2,-4.52,6.97,,0
002465,海格通信,1.84,-26.1,252.74,2.28,0.99,10.2,,0
002474,榕基软件,3.65,-60.09,34.22,3.05,0.47,6.37,,0
002475,立讯精密,1.29,25.05,4220.71,4.79,1.8,57.62,,0
002491,通鼎互联,13.51,126.68,261.41,10.23,-0.04,22.22,,0
002506,协鑫集成,6.16,-12.21,154.88,22.21,-5.02,2.65,,0
002516,旷达科技,0.67,36.54,79.6,2.12,0.18,5.45,,0
002517,恺英网络,4.17,15.4,322.67,3.5,3.43,17.17,,0
002519,银河电子,2.23,-129.02,63.59,2.87,2.72,5.66,,0
002530,金财互联,1.74,76.46,52.36,4.26,0.54,7.41,,0
002539,云图控股,2.66,16.07,121.28,1.67,-1.37,13.63,,0
002544,普天科技,1.1,528.64,110.98,3.0,0.68,16.31,,0
002540,亚太科技,1.69,21.91,44.88,1.18,1.16,5.23,,0
002546,新联电子,1.33,7.91,64.1,1.61,0.63,8.0,,0
002558,巨人网络,3.29,16.71,521.7,3.1,0.62,27.45,,0
002552,宝鼎科技,7.56,86.04,194.68,12.51,-0.68,52.83,,0
002562,兄弟科技,3.34,44.26,40.52,1.56,-0.6,4.98,,0
002577,雷柏科技,2.14,-1088.72,55.52,4.73,5.21,19.78,,0
002564,天沃科技,0.85,-178.88,38.82,35.51,0.0,4.52,,0
002579,中京电子,8.77,-111.35,85.65,3.91,2.09,14.68,,0
002587,奥拓电子,2.3,226.63,29.99,2.82,1.62,5.63,,0
002590,万安科技,2.03,24.32,50.03,1.7,3.58,10.12,,0
002595,豪迈科技,1.34,21.84,505.43,4.12,-7.47,43.87,,0
002609,捷顺科技,1.41,78.39,36.35,2.14,1.8,7.91,,0
002605,姚记科技,2.23,17.06,59.09,1.94,1.75,17.46,,0
002617,露笑科技,2.31,67.03,116.22,1.82,-0.16,6.19,,0
002625,光启技术,0.63,99.32,615.78,6.27,0.63,28.58,,0
002635,安洁科技,4.87,49.44,63.25,1.8,3.7,15.99,,0
002637,赞宇科技,5.45,25.08,55.63,1.52,-3.31,11.97,,0
002642,荣联科技,1.32,282.16,48.16,4.04,0.97,7.28,,0
002645,华宏科技,3.0,31.3,132.1,3.37,1.41,19.42,,0
002649,博彦科技,3.01,114.2,57.87,1.42,0.71,9.89,,0
002654,万润科技,6.02,254.59,119.01,7.51,3.0,14.08,,0
002674,兴业科技,4.12,64.95,72.56,3.01,-0.36,24.8,,0
002681,奋达科技,7.5,-93.85,79.39,4.23,7.91,5.05,,0
002715,登云股份,2.87,-130.9,19.84,4.29,-0.42,14.38,,0
002690,美亚光电,1.05,19.41,68.71,5.52,-1.05,16.09,,0
002729,好利科技,1.92,84.16,24.32,4.47,0.29,13.86,"好利科技(002729.SZ) | 好利科技股票_数据_资料_信息 — 东方财富网 | 好利科技(002729) | ST板块指数800003 | 好利科技(002729)2026年中报简析:增收不增利,公司应收账款体...",5
002730,电光科技,1.96,147.68,82.77,5.31,-0.17,23.92,,0
002741,光华科技,4.05,84.43,109.96,5.91,1.39,25.57,,0
002765,蓝黛科技,1.96,67.66,42.25,1.78,0.14,7.09,,0
002767,先锋电子,1.4,99.1,24.15,3.19,0.87,18.54,,0
002779,中坚科技,2.41,126.25,129.02,16.49,4.85,77.81,,0
002796,世嘉科技,3.08,-146.85,69.75,9.29,3.13,30.63,,0
002813,路畅科技,1.09,-37.14,25.69,12.69,2.05,21.43,,0
002815,崇达技术,5.04,71.49,114.63,2.05,0.41,14.75,,0
002823,凯中精密,1.44,19.14,29.35,2.07,0.92,13.16,,0
002831,裕同科技,1.72,21.58,191.27,3.03,1.44,26.78,,0
002849,威星智能,3.28,83.3,41.11,2.98,0.37,18.8,,0
002855,捷荣技术,14.49,-11.97,39.64,21.43,9.97,16.1,,0
002859,洁美科技,4.39,119.38,292.03,8.1,4.01,68.18,,0
002866,传艺科技,2.42,66.83,27.68,2.08,1.07,15.06,,0
002869,金溢科技,3.23,-19.09,26.81,1.5,4.64,16.92,,0
002877,智能自控,1.88,164.03,18.06,2.2,1.21,7.51,,0
002879,长缆科技,3.37,26.3,22.59,1.72,0.12,16.47,,0
002881,美格智能,9.64,82.46,82.18,4.91,10.0,44.9,,0
002888,惠威科技,5.51,145.92,14.86,7.91,2.9,19.84,,0
002908,德生科技,1.7,-119.48,23.65,2.96,1.54,7.27,,0
002916,深南电路,1.23,60.33,2454.46,13.94,1.84,369.08,,0
002921,联诚精密,7.53,2261.81,29.9,2.64,10.0,23.22,,0
002925,盈趣科技,1.2,23.26,171.29,3.46,0.99,23.43,,0
002935,天奥电子,1.11,102.53,66.33,4.24,1.72,15.98,,0
002951,金时科技,0.88,-28.67,63.18,4.22,-1.75,15.75,,0
002952,亚世光电,13.38,177.48,28.75,4.0,-1.61,21.44,,0
002937,兴瑞科技,2.39,74.59,96.29,4.92,-3.02,30.55,,0
002957,科瑞技术,3.44,56.27,174.75,5.3,2.25,41.72,,0
002962,五方光电,3.25,158.22,27.62,2.19,2.01,13.2,,0
002955,鸿合科技,2.63,457.24,73.13,2.62,5.74,35.56,,0
002976,瑞玛精密,4.94,-185.99,31.02,3.46,4.13,25.48,,0
002970,锐明技术,1.92,30.91,64.04,4.08,-0.12,48.68,,0
002965,祥鑫科技,4.63,362.08,75.0,2.0,2.67,31.52,,0
002990,盛视科技,6.1,76.48,67.68,4.99,4.79,49.04,,0
002979,雷赛智能,4.71,60.19,127.32,9.18,1.31,57.15,,0
002981,朝阳科技,1.69,114.05,29.18,3.14,1.18,24.0,,0
002992,宝明科技,1.16,1975.32,54.4,8.54,1.54,34.38,,0
002993,奥海科技,2.57,46.25,92.68,2.3,2.75,38.87,,0
003007,直真科技,2.58,134.45,28.74,3.12,1.49,39.6,,0
003018,金富科技,7.93,105.14,140.49,9.07,10.0,49.38,,0
003019,宸展光电,3.68,27.79,47.38,2.85,1.93,27.4,,0
003015,日久光电,1.44,37.22,30.66,3.07,1.47,12.41,,0
003025,思进智能,2.56,23.56,28.37,2.81,0.48,12.53,,0
003026,中晶科技,3.68,93.38,42.34,8.05,0.17,29.29,,0
003027,同兴科技,1.56,56.77,17.71,1.32,2.13,17.23,,0
003031,中瓷电子,2.58,84.54,433.67,9.03,0.66,127.49,,0
003028,振邦智能,1.16,89.73,16.35,1.93,1.23,23.13,,0
003043,华亚智能,5.2,127.34,78.27,6.17,0.6,83.25,,0
300011,鼎汉技术,0.8,-94.12,31.34,2.46,0.33,6.15,,0
300017,网宿科技,10.42,52.69,387.15,4.01,6.86,16.36,,0
300007,汉威科技,2.16,62.04,89.89,3.48,1.96,31.79,,0
300019,硅宝科技,1.0,26.68,53.97,2.15,0.07,14.64,,0
300031,宝通科技,3.18,34.19,75.87,2.15,0.0,21.16,,0
300022,吉峰科技,2.86,-136.13,40.53,7.9,-2.38,8.2,,0
300036,超图软件,2.34,-56.34,47.67,2.12,1.9,10.71,,0
300042,朗科科技,4.04,57.88,81.07,7.17,2.17,40.46,,0
300051,琏升科技,2.5,-24.74,30.6,29.57,-0.95,8.32,,0
300075,数字政通,1.83,-18.54,57.29,2.14,1.39,10.92,,0
300061,旗天科技,3.85,-42.81,37.94,9.49,1.14,6.22,,0
300073,当升科技,2.46,26.07,203.96,1.46,-1.8,40.31,,0
300079,数码视讯,4.3,174.77,62.02,1.68,5.26,4.8,,0
300084,海默科技,1.39,-96.73,52.28,4.49,-0.48,10.41,,0
300077,国民技术,6.66,-190.5,118.94,8.04,2.76,20.85,,0
300101,振芯科技,1.04,-175.89,82.01,4.67,1.26,14.5,,0
300088,长信科技,3.23,178.88,177.46,2.07,2.15,7.14,,0
300097,智云股份,10.77,-16.04,28.31,14.32,6.98,10.73,,0
300113,顺网科技,4.76,27.46,85.92,4.34,3.69,16.88,,0
300102,乾照光电,1.49,123.15,166.48,3.83,0.94,18.18,,0
300105,龙源技术,3.93,-73.56,40.16,2.25,2.23,7.79,,0
300128,锦富技术,2.42,-19.84,65.38,18.17,3.28,5.04,,0
300115,长盈精密,4.1,108.9,335.96,4.05,4.08,24.75,,0
300124,汇川技术,0.84,34.25,1491.41,4.55,-0.29,61.87,,0
300139,晓程科技,22.44,86.73,121.81,12.4,-5.18,52.13,,0
300134,大富科技,1.97,-25.18,67.08,1.87,2.94,8.74,,0
300136,信维通信,4.73,84.92,504.99,7.39,1.44,61.21,,0
300162,雷曼光电,5.05,-44.44,26.86,3.83,2.88,7.85,,0
300168,万达信息,1.26,-17.32,73.27,7.99,2.62,5.09,,0
300151,昌红科技,3.95,165.01,61.57,5.81,3.92,16.7,,0
300170,汉得信息,9.63,74.83,168.73,3.04,1.98,16.97,,0
300176,鸿特科技,2.23,191.65,25.03,1.76,-0.63,4.71,,0
300184,力源信息,3.61,38.18,130.47,3.07,1.39,12.43,,0
300188,国投智能,1.14,-10.83,89.32,3.78,-0.48,10.44,,0
300193,佳士科技,1.71,21.62,34.08,1.67,1.75,8.15,,0
300203,聚光科技,1.01,-21.75,58.29,2.26,-0.76,13.0,,0
